umap1,umap2,pc1,pc2
5.631597,8.917071,0.40965015,3.3377905
1.2063603,6.600998,0.6552999,-0.1684022
0.27323017,0.016488016,3.3327062,-3.0948396
4.421069,9.014687,1.201869,3.053875
5.0742416,9.181276,0.2706818,2.434021
6.799751,9.245877,-0.1635133,4.1242447
-0.5296326,2.7982762,3.0450947,-1.0393437
4.8611627,8.80262,0.14691246,2.454042
10.605309,3.9551146,-2.838881,-0.10931128
2.90965,7.984402,0.916073,1.4262936
10.870815,2.0637126,-5.0650134,-0.020287126
-0.123473175,5.2609305,2.9912324,-0.115291595
10.353501,2.1582096,-4.7788014,0.43121344
4.5052147,8.99172,0.5117334,2.095656
10.534248,1.8496267,-5.2125525,-0.33569092
3.2653792,7.794475,1.4224119,1.3134841
4.82286,8.654783,-0.15656978,2.403472
0.52784455,4.175922,2.7876537,-0.2562878
10.79898,2.2619898,-4.7215734,0.42322123
0.6839451,7.0523267,2.282177,0.18046501
5.0919404,2.1055741,-4.618347,1.0567844
-1.1938154,3.2104363,3.5158646,-1.4702077
10.912137,5.3995605,-0.71093434,1.251416
5.7672553,3.3305726,-0.8872047,-2.0712724
-1.2376244,3.31394,3.368656,-0.7610707
